Date,Download,Total,Monthly
2021-03-01T21:30:54,14224,2006635,14224
2021-03-02T03:06:20,3531,2010166,17755
2021-03-02T09:34:48,2510,2012676,20265
2021-03-02T21:33:51,7685,2020361,27950
2021-03-03T09:44:09,5547,2025908,33497
2021-03-03T21:34:39,6362,2032270,39859
2021-03-04T09:38:55,4560,2036830,44419
2021-03-04T21:34:52,5820,2042650,50239
2021-03-05T09:38:47,4317,2046967,54556
2021-03-05T21:34:42,6247,2053214,60803
2021-03-06T09:34:51,5171,2058385,65974
2021-03-06T21:29:42,7974,2066359,73948
2021-03-07T09:38:42,6461,2072820,80409
2021-03-07T21:34:27,7907,2080727,88316
